долгий: дольше
специальный: специальные
таблетка: таблетки таблеток
образ: образом
есть: есть
пахнуть: пахнет
установить: установить
ряд: ряд
воды: воды
борьба: борьбе
юридический: юридический
помощь: помощью
стекло: стеклам
тута: тут
в: в
аквариумист: аквариумисты аквариумистам
содержание: содержанием
и: и
можно: можно
съедаться: съедался
с: с
сочетать: сочетают
позволить: позволят
они: ими они них
пищевой: пищевых
уже: уже
бросать: бросать
раз: раза
остаток: остатки
вы: вы
оставить: оставьте
необходимый: необходимы
кормить: кормите
быстро: быстро
загрязнение: загрязнение загрязнением
органик: органики
ооо: ооо
кормление: кормления
разложение: разложение
сильный: сильным
проблема: проблем проблемы
популярный: популярные
сомовый: сомов
чтобы: чтобы
также: также
корма: корма корм
дневной: дневные
появиться: появится
получение: получения
правильно: правильно
час: час
между: между
до: до
заводить: заводят
сосед: соседи
адрес: адрес
другой: другими другие других
рыба: рыб
креветка: креветками
перекорм: перекорм
оставаться: остается
ее: ее
доставаться: достается
отрегулировать: отрегулируйте
дополнить: дополнить
однако: однако
посол: после
растительноядный: растительноядных
грунт: грунта
офис: офис
голодный: голодными
рекомендовать: рекомендуем
отзыв: отзыв
вид: вида
съедать: съедают
дно: дно
внести: внести внесите
оценка: оценки
иметь: иметь имеет
что: что
за: за
оценить: оцените
рыбка: рыбки рыбок
лишь: лишь
практический: практически
ожидать: ожидают
московский: московская
растительный: растительных
часто: часто
верхний: верхних
заросль: заросли
некоторые: некоторые
зависеть: зависеть
выключение: выключения
помочь: помогут
сомик: сомики сомиков
если: если
всеядный: всеядных
добраться: доберутся
любой: любой
желательно: желательно
растенье: растений
копошиться: копошатся
из: из
плотность: плотность
делать: делать
остаться: остаться
их: их
неприятно: неприятно
доедать: доедая
через: через
заказ: заказ
водорослевый: водорослевый
сделать: сделайте
серия: серия
бывать: бывают
ускорить: ускорит
ползать: ползают
стараться: старайтесь
нашествие: нашествием
нужно: нужно
который: которые который
опускаться: опускаются
избавиться: избавиться
убрать: уберет
например: например
это: это
большинство: большинство
два: два
вот: вот
пропустить: пропустили
ночное: ночные
мутнеть: мутнеет
находить: находя
справиться: справиться
такой: таким
деть: день
неприятный: неприятные
покупать: покупая
вод: вода
несколько: нескольких
подмена: подмену
место: место
или: или
решение: решения
водоросль: водоросли водорослей водорослями
подъедать: подъедают
мы: мы
на: на
травоядный: травоядными
тот: то
не: не
использовать: используйте
выбор: выбор
каждый: каждую
донный: донные донных
указать: укажите
аквариум: аквариуме
но: но
много: более
маленький: меньше
поедаться: поедаются
почта: почту
когда: когда
длить: для
сома: сомам
начинать: начинающие
обратить: обратите
вьюнов: вьюновых
смешанный: смешанного
даже: даже
от: от
санитар: санитары
тогда: тогда
как: как
сталкиваться: сталкиваются
все: все
препарат: препарат
именно: именно
ваш: вашим вашей ваш
помогать: помогают
устранить: устранить
по: по
где: где
активный: активные
дальнейший: дальнейшем
постоянно: постоянно
столкнуться: столкнулись
соскабливать: соскабливая
способ: способ
высокий: высоким
забывать: забывайте
товар: товар
наличие: наличии
быть: будет будут
активно: активно
